ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331901,NAGAPATTINAM,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,28,37,55,46,61,51,52,77,86,91,0,0,0,0,48,47,51,62,62,64,88,78,0,0,0,0
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331910,SIRKALI,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,0,0,3,5,1,2,2,7,4,4,0,0,0,0,2,1,1,0,6,1,4,1,0,0,0,0
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331901,NAGAPATTINAM,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,4,7,12,11,24,26,25,26,0,0,0,0,7,8,10,14,18,19,25,19,0,0,0,0
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331902,THIRUMARUGAL,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,0,0,0,2,0,3,7,3,0,0,0,0,0,1,0,2,0,8,3,5,0,0,0,0
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331904,KEEZHAIYUR,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,16,16,16,17,15,18,23,26,0,0,0,0,15,18,23,25,24,23,19,32,0,0,0,0
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331905,THALAINAYAR,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,3,7,4,9,6,8,9,12,0,0,0,0,4,5,4,5,4,12,7,16,0,0,0,0
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331906,VEDARANYAM,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,40,51,40,49,67,73,89,85,0,0,0,0,39,48,51,49,46,102,99,88,0,0,0,0
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331907,MAYILADUDURAI,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,19,22,29,30,34,53,48,26,0,0,0,0,21,34,29,24,31,36,33,47,0,0,0,0
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331908,SEMBANARKOIL,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,13,17,27,20,43,60,39,41,0,0,0,0,16,21,20,20,40,41,33,33,0,0,0,0
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331909,KUTHALAM,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,5,4,10,9,13,19,7,11,0,0,0,0,4,9,9,12,9,18,13,20,0,0,0,0
2019-20,33,Tamilnadu,3319,NAGAPATTINAM,331910,SIRKALI,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,1,1,1,1,0,3,3,13,0,0,0,0,0,0,1,1,1,1,1,4,0,0,0,0
