Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Udise_Block_Name,Location,School_Category_Id,School_Category_Name,School_Management_Id,School_Management_Name,Total_Number_of_Schools,Building,Boundary_Wall,Single_Class_Room,Separate_Room_for_Headmaster,Land_Available,Electricity,Functional_Electricity,Solar_Panel,Furniture,Playground,Library_or_Reading_Corner_or_Book_Bank,Librarian,Newspaper,Kitchen_Garden,Boy_Toilet,Functional_Boy_Toilet,Girl_Toilet,Functional_Girl_Toilet,Toilet_Facility,Functional_Toilet_Facility,Functional_Urinal_Boy,Functional_Urinal_Girl,Functional_Urinal,Functional_Toilet_and_Urinal,Drinking_Water,Functional_Drinking_Water,Water_Purifier,Rain_Water_Harvesting,Water_Tested,Handwash,Incinerator,WASH_Facility_Drinking_Water_Toilet_and_Handwash,Ramps,Medical_Checkup,Complete_Medical_Checkup,Internet,Computer_Available
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Rural,1,"PS (I-V)",1,"Department of Education",31,29,18,1,31,15,31,31,0,0,21,31,0,1,3,31,31,31,31,31,31,30,29,30,30,31,31,12,29,15,31,0,31,27,30,14,0,18
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Rural,1,"PS (I-V)",2,"Tribal Welfare Department",5,5,4,0,5,3,5,5,0,0,5,5,0,0,0,5,5,5,5,5,5,4,4,4,4,5,5,2,5,0,5,0,5,5,5,3,0,3
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Rural,1,"PS (I-V)",4,"Government Aided",10,10,8,1,1,7,10,10,0,0,9,10,0,0,2,9,9,9,9,10,10,8,8,9,9,10,10,3,6,6,10,0,10,2,10,5,0,0
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Rural,1,"PS (I-V)",5,"Private Unaided (Recognized)",16,16,15,1,11,10,16,16,1,0,16,16,1,7,0,16,16,16,16,16,16,15,15,16,16,16,16,8,11,3,16,1,16,6,13,10,6,14
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Rural,2,"UPS (I-VIII)",1,"Department of Education",15,15,12,0,15,8,15,15,1,0,15,15,0,3,4,15,15,15,15,15,15,15,15,15,15,15,15,12,14,10,15,11,15,15,14,14,0,15
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Rural,2,"UPS (I-VIII)",2,"Tribal Welfare Department",1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Rural,2,"UPS (I-VIII)",5,"Private Unaided (Recognized)",2,2,1,0,0,1,2,2,0,0,2,2,0,0,0,2,2,2,2,2,2,1,1,1,1,2,2,1,2,0,2,0,2,2,2,1,0,1
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Rural,3,"HSS (I-XII)",5,"Private Unaided (Recognized)",8,8,8,0,8,5,8,8,2,0,8,8,3,6,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,5,8,0,8,2,8,3,8,8
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Rural,5,"HSS (VI-XII)",1,"Department of Education",2,2,2,0,2,0,2,2,0,0,2,2,0,1,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,2,1,2,2,2,2,2,2
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Rural,5,"HSS (VI-XII)",2,"Tribal Welfare Department",2,2,2,0,2,2,2,2,0,0,2,2,0,1,0,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,2,0,2,2,2,2,2,2
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Rural,5,"HSS (VI-XII)",5,"Private Unaided (Recognized)",1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Rural,6,"SS (I-X)",1,"Department of Education",1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Rural,6,"SS (I-X)",5,"Private Unaided (Recognized)",6,6,6,0,5,4,6,6,0,0,6,6,2,4,2,6,6,6,6,6,6,6,6,6,6,6,6,4,6,4,6,1,6,2,5,3,5,6
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Rural,7,"SS (VI-X)",1,"Department of Education",6,6,5,0,6,5,6,6,0,0,5,6,1,5,3,5,5,6,6,6,6,5,4,6,6,6,6,2,6,1,6,3,6,6,6,6,6,6
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Rural,7,"SS (VI-X)",4,"Government Aided",1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Urban,1,"PS (I-V)",2,"Tribal Welfare Department",1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Urban,1,"PS (I-V)",3,"Local body",4,2,4,0,4,0,4,4,0,0,2,4,0,1,0,3,3,4,4,4,4,4,4,4,4,4,4,2,4,2,4,0,4,3,4,2,0,3
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Urban,1,"PS (I-V)",4,"Government Aided",2,2,1,0,2,1,2,2,0,0,1,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,0,2,1,2,1,0,0
2019-20,33,Tamilnadu,3301,TIRUVALLUR,330101,THIRUVALLUR,Urban,1,"PS (I-V)",5,"Private Unaided (Recognized)",8,8,6,0,4,3,8,8,0,0,8,8,0,3,0,8,8,8,8,8,8,8,8,8,8,8,8,7,7,2,8,0,8,2,6,4,2,6
