ac_year,st_code,state_name,dt_code,district_name,block_cd,udise_block_name,loc_name,sch_category_id,tr_cat_name,school_category,sch_mgmt_id,sch_mgmt_name,caste_id,caste_name,pre_primary_boy,pre_primary_girl,class1_boy,class2_boy,class3_boy,class4_boy,class5_boy,class6_boy,class7_boy,class8_boy,class9_boy,class10_boy,class11_boy,class12_boy,class1_girl,class2_girl,class3_girl,class4_girl,class5_girl,class6_girl,class7_girl,class8_girl,class9_girl,class10_girl,class11_girl,class12_girl
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332703,PARAMAKUDI,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,14,24,30,40,28,43,22,42,33,26,0,0,0,0,25,32,35,47,29,37,30,34,0,0,0,0
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332709,RAMANATHAPURAM,Urban,2,cat2,"UPS (I-VIII)",3,"Local body",4,OBC,15,32,21,14,24,12,23,24,19,7,0,0,0,0,12,18,22,19,28,19,23,5,0,0,0,0
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332701,THIRUVADANAI,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,22,31,42,38,42,48,57,35,0,0,0,0,26,32,43,41,56,56,53,63,0,0,0,0
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332702,RAJASINGAMANGALAM,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,11,7,6,14,5,8,9,10,0,0,0,0,9,8,5,4,8,10,7,8,0,0,0,0
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332703,PARAMAKUDI,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,13,29,16,27,29,35,29,36,0,0,0,0,23,21,24,20,24,25,27,32,0,0,0,0
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332705,NAINARKOIL,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,2,0,3,0,1,2,3,0,0,0,0,0,3,0,2,3,2,5,3,4,0,0,0,0
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332706,KAMUTHI,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,6,5,8,7,5,20,19,13,0,0,0,0,8,11,4,8,3,16,11,15,0,0,0,0
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332707,MUDUKULATHUR,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,9,8,4,5,4,10,17,13,0,0,0,0,2,6,2,4,7,9,8,11,0,0,0,0
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332708,KADALADI,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,40,49,59,39,56,89,85,86,0,0,0,0,35,41,51,62,50,87,89,75,0,0,0,0
2019-20,33,Tamilnadu,3327,RAMANATHAPURAM,332709,RAMANATHAPURAM,Rural,2,cat2,"UPS (I-VIII)",4,"Government Aided",4,OBC,0,0,10,6,13,15,20,6,14,15,0,0,0,0,12,19,15,21,14,19,22,17,0,0,0,0
