Academic_Year,State_Code,State_Name,District_Code,District_Name,Block_Code,Block_Name,School_Management_Id,School_Management_Name,School_Category_Id,School_Category_Name,Academic_Qualification_Id,Academic_Qualification_Name,Professional_Qualification_Id,Professional_Qualification_Name,Only_Pre_Primary_Male,Only_Pre_Primary_Female,Pre_Primary_and_Primary_Male,Pre_Primary_and_Primary_Female,Only_Primary_Male,Only_Primary_Female,Primary_and_Upperprimary_Male,Primary_and_Upperprimary_Female,Only_Upperprimary_Male,Only_Upperprimary_Female,Upperprimary_and_Secondary_Male,Upperprimary_and_Secondary_Female,Only_Secondary_Male,Only_Secondary_Female,Secondary_and_Highersecondary_Male,Secondary_and_Highersecondary_Female,Only_Highersecondary_Male,Only_Highersecondary_Female,Total_Teacher,Total_Male,Total_Female
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332901,ALANGULAM,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332902,AMBASAMUDRAM,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332903,CHERANMAHADEVI,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332904,KADAYAM,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332905,KADAYANALLUR,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332907,KEELAPAVOOR,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332908,KURUVIKULAM,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332909,MANUR,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332910,MELANEELITHANALLUR,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332911,NANGUNERI,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332912,PALAY-RURAL,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332913,PAPPAKUDI,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332914,RADHAPURAM,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332915,SANKARANKOVIL,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332916,SHENKOTTAI,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332917,TENKASI,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332918,VALLIYOOR,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332919,VASUDEVANALLUR,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
2019-20,33,Tamilnadu,3329,TIRUNELVELI,332920,PALAY-URBAN,1,"Department of Education",1,"PS (I-V)",1,"Below Secondary",1,"Diploma or certificate in basic teachers training of a duration not less than two years",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
